year,net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,self_made,wealth_status,industries,region_gdp,industry_gdp
2017,8.1,Micky Arison,67,Male,United States,United States,Bal Harbour,FALSE,Increased,Service,19.5,NA
2017,8.1,James Chambers,59,Male,United States,United States,Palisades,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,8.1,Katharine Rayner,72,Female,United States,United States,East Hampton,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,8.1,Margaretta Taylor,74,Female,United States,United States,Southampton,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,8,Ken Griffin,48,Male,United States,United States,Chicago,TRUE,Increased,Finance & Investments,19.5,1.508
2017,8,"Herbert Kohler, Jr. & family",78,Male,United States,United States,Kohler,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,8,Pierre Omidyar,49,Male,United States,United States,Honolulu,TRUE,Increased,Technology,19.5,1.01
2017,7.9,George Kaiser,74,Male,United States,United States,Tulsa,FALSE,Increased,Energy,19.5,NA
2017,7.9,John Paulson,61,Male,United States,United States,New York,TRUE,Decreased,Finance & Investments,19.5,1.508
2017,7.8,"Edward Johnson, III.",86,Male,United States,United States,Boston,FALSE,Increased,Finance & Investments,19.5,1.508
2017,7.7,Eli Broad,83,Male,United States,United States,Los Angeles,TRUE,Increased,Finance & Investments,19.5,1.508
2017,7.7,John Malone,76,Male,United States,United States,Elizabeth,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,7.5,Stanley Kroenke,69,Male,United States,United States,Columbia,TRUE,Decreased,Sports,19.5,NA
2017,7.4,Carl Cook,54,Male,United States,United States,Bloomington,FALSE,Increased,Health care,19.5,1.4713
2017,7.4,Stephen Ross,76,Male,United States,United States,New York,TRUE,Decreased,Real Estate,19.5,2.525
2017,7.3,David Geffen,74,Male,United States,United States,Malibu,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,7.3,Gordon Moore,88,Male,United States,United States,Woodside,TRUE,Increased,Technology,19.5,1.01
2017,7.2,Richard Kinder,72,Male,United States,United States,Houston,TRUE,Increased,Energy,19.5,NA
2017,7.2,Hank & Doug Meijer,NA,Male,United States,United States,Grand Rapids,FALSE,Decreased,Fashion & Retail,19.5,1.1789
2017,6.8,Pauline MacMillan Keinath,83,Female,United States,United States,St. Louis,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,6.7,David Duffield,76,Male,United States,United States,Incline Village,TRUE,Increased,Technology,19.5,1.01
2017,6.5,Bruce Halle,86,Male,United States,United States,Paradise Valley,TRUE,Increased,Automotive,19.5,NA
2017,6.5,Richard LeFrak & family,71,Male,United States,United States,New York,FALSE,Increased,Real Estate,19.5,2.525
2017,6.4,John A. Sobrato & family,77,Male,United States,United States,Atherton,TRUE,Increased,Real Estate,19.5,2.525
2017,6.4,Les Wexner & family,79,Male,United States,United States,New Albany,TRUE,Decreased,Fashion & Retail,19.5,1.1789
2017,6.3,Garrett Camp,38,Male,Canada,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,6.3,Travis Kalanick,40,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,6.2,David Green & family,75,Male,United States,United States,Oklahoma City,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,6.2,Robert Rowling,63,Male,United States,United States,Dallas,FALSE,Increased,Energy,19.5,NA
2017,6,Marian Ilitch,84,Female,United States,United States,Bingham Farms,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,6,Ann Walton Kroenke,68,Female,United States,United States,Columbia,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,6,Dennis Washington,82,Male,United States,United States,Missoula,TRUE,Increased,Logistics,19.5,0.6355
2017,5.8,Daniel Gilbert,55,Male,United States,United States,Franklin,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5.8,Charles Johnson,84,Male,United States,United States,Palm Beach,FALSE,Increased,Finance & Investments,19.5,1.508
2017,5.7,Dannine Avara,53,Female,United States,United States,Houston,FALSE,Increased,Energy,19.5,NA
2017,5.7,Scott Duncan,34,Male,United States,United States,Houston,FALSE,Increased,Energy,19.5,NA
2017,5.7,Milane Frantz,47,Female,United States,United States,Houston,FALSE,Increased,Energy,19.5,NA
2017,5.7,Randa Williams,55,Female,United States,United States,Houston,FALSE,Increased,Energy,19.5,NA
2017,5.6,Brian Acton,45,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,5.6,Richard DeVos & family,91,Male,United States,United States,Holland,TRUE,Increased,Service,19.5,NA
2017,5.6,Whitney MacMillan,87,Male,United States,United States,Minneapolis,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,5.5,Leon Black,65,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5.5,Bruce Kovner,72,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5.5,Ralph Lauren,77,Male,United States,United States,New York,TRUE,Remained Even,Fashion & Retail,19.5,1.1789
2017,5.5,Hansjoerg Wyss,82,Male,Switzerland,United States,Wilson,TRUE,Decreased,Health care,19.5,1.4713
2017,5.4,Sumner Redstone,93,Male,United States,United States,Beverly Hills,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,5.4,David Shaw,65,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5.4,Christy Walton,68,Female,United States,United States,Jackson,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,5.3,Ted Lerner,91,Male,United States,United States,Chevy Chase,TRUE,Decreased,Real Estate,19.5,2.525
2017,5.3,George Lucas,72,Male,United States,United States,San Anselmo,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,5.3,Trevor Rees-Jones,65,Male,United States,United States,Dallas,TRUE,Increased,Energy,19.5,NA
2017,5.3,David Sun,65,Male,United States,United States,Irvine,TRUE,Increased,Technology,19.5,1.01
2017,5.3,John Tu,75,Male,United States,United States,Rolling Hills,TRUE,Increased,Technology,19.5,1.01
2017,5.2,John Doerr,65,Male,United States,United States,Woodside,TRUE,Increased,Technology,19.5,1.01
2017,5.2,Israel Englander,68,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5.2,Jerry Jones,74,Male,United States,United States,Dallas,TRUE,Increased,Sports,19.5,NA
2017,5.2,Tom & Judy Love,80,NA,United States,United States,Oklahoma City,TRUE,Decreased,Fashion & Retail,19.5,1.1789
2017,5.1,Jim Davis & family,73,Male,United States,United States,Newton,TRUE,Increased,Manufacturing,19.5,2.1096999999999997
2017,5.1,"Rupert Johnson, Jr.",76,Male,United States,United States,Burlingame,FALSE,Increased,Finance & Investments,19.5,1.508
2017,5.1,Robert Kraft,75,Male,United States,United States,Brookline,TRUE,Increased,Sports,19.5,NA
2017,5.1,Steven Rales,65,Male,United States,United States,Santa Barbara,TRUE,Increased,Manufacturing,19.5,2.1096999999999997
2017,5,Tamara Gustavson & family,55,Female,United States,United States,Malibu,FALSE,Remained Even,Service,19.5,NA
2017,5,Henry Kravis,73,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5,George Roberts,73,Male,United States,United States,Atherton,TRUE,Increased,Finance & Investments,19.5,1.508
2017,5,"Edward Roski, Jr.",78,Male,United States,United States,Los Angeles,FALSE,Increased,Real Estate,19.5,2.525
2017,5,Sam Zell,75,Male,United States,United States,Chicago,TRUE,Increased,Real Estate,19.5,2.525
2017,4.8,Ray Lee Hunt,73,Male,United States,United States,Dallas,FALSE,Decreased,Energy,19.5,NA
2017,4.8,John Overdeck,47,Male,United States,United States,Millburn,TRUE,Increased,Finance & Investments,19.5,1.508
2017,4.8,David Siegel,55,Male,United States,United States,Scarsdale,TRUE,Increased,Finance & Investments,19.5,1.508
2017,4.8,Daniel Ziff,45,Male,United States,United States,New York,FALSE,Remained Even,Finance & Investments,19.5,1.508
2017,4.8,Dirk Ziff,52,Male,United States,United States,North Palm Beach,FALSE,Remained Even,Finance & Investments,19.5,1.508
2017,4.8,Robert Ziff,50,Male,United States,United States,New York,FALSE,Remained Even,Finance & Investments,19.5,1.508
2017,4.7,Stanley Druckenmiller,63,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,4.7,"Paul Tudor Jones, II.",62,Male,United States,United States,Greenwich,TRUE,Remained Even,Finance & Investments,19.5,1.508
2017,4.7,Alejandro Santo Domingo,40,Male,United States,United States,New York,FALSE,Decreased,Food & Beverage,19.5,0.6174
2017,4.7,Andres Santo Domingo,38,Male,United States,United States,New York,FALSE,Decreased,Food & Beverage,19.5,0.6174
2017,4.6,Charles Dolan & family,90,Male,United States,United States,Oyster Bay,TRUE,Decreased,Media & Entertainment,19.5,0.21380000000000002
2017,4.5,Mitchell Rales,60,Male,United States,United States,Potomac,TRUE,Increased,Manufacturing,19.5,2.1096999999999997
2017,4.5,John Sall,68,Male,United States,United States,Cary,TRUE,Increased,Technology,19.5,1.01
2017,4.5,Andreas von Bechtolsheim & family,61,Male,Germany,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,4.5,Kelcy Warren,61,Male,United States,United States,Dallas,TRUE,Increased,Energy,19.5,NA
2017,4.4,Karen Pritzker,59,Female,United States,United States,Branford,FALSE,Increased,Service,19.5,NA
2017,4.4,Reinhold Schmieding,62,Male,United States,United States,Naples,TRUE,Increased,Health care,19.5,1.4713
2017,4.4,Sheldon Solow,88,Male,United States,United States,New York,TRUE,Increased,Real Estate,19.5,2.525
2017,4.4,Ronda Stryker,62,Female,United States,United States,Portage,FALSE,Increased,Health care,19.5,1.4713
2017,4.3,Jeffery Hildebrand,58,Male,United States,United States,Houston,TRUE,Increased,Energy,19.5,NA
2017,4.3,"Jeremy Jacobs, Sr.",77,Male,United States,United States,East Aurora,FALSE,Increased,Service,19.5,NA
2017,4.3,Nancy Walton Laurie,65,Female,United States,United States,Henderson,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,4.3,Gwendolyn Sontheim Meyer,55,Female,United States,United States,Rancho Santa Fe,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,4.3,Jeffrey Skoll,52,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,4.3,Frederick Smith,72,Male,United States,United States,Memphis,TRUE,Increased,Logistics,19.5,0.6355
2017,4.2,Jeronimo Arango & family,91,Male,Mexico,United States,Los Angeles,TRUE,Decreased,Fashion & Retail,19.5,1.1789
2017,4.2,David Cheriton,65,Male,Canada,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,4.2,Martha Ingram & family,81,Female,United States,United States,Nashville,FALSE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,4.2,Leonard Stern,78,Male,United States,United States,New York,FALSE,Increased,Real Estate,19.5,2.525
2017,4.1,Gabe Newell,54,Male,United States,United States,Seattle,TRUE,Increased,Gambling & Casinos,19.5,NA
2017,4.1,Terrence Pegula,65,Male,United States,United States,Boca Raton,TRUE,Increased,Energy,19.5,NA
2017,4.1,Ira Rennert,82,Male,United States,United States,New York,TRUE,Increased,Finance & Investments,19.5,1.508
2017,4.1,J. Christopher Reyes,63,Male,United States,United States,Hobe Sound,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,4.1,Jude Reyes,61,Male,United States,United States,Palm Beach,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,4,Robert Bass,68,Male,United States,United States,Fort Worth,FALSE,Increased,Energy,19.5,NA
2017,4,Marc Benioff,52,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,4,James Jannard,67,Male,United States,United States,San Juan Islands,TRUE,Remained Even,Fashion & Retail,19.5,1.1789
2017,4,Bernard Marcus,87,Male,United States,United States,Atlanta,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,4,John Morris,68,Male,United States,United States,Springfield,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,4,Bobby Murphy,28,Male,United States,United States,Venice,TRUE,Increased,Technology,19.5,1.01
2017,4,Isaac Perlmutter,74,Male,United States,United States,Palm Beach,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,4,"H. Ross Perot, Sr.",86,Male,United States,United States,Dallas,TRUE,Increased,Diversified,19.5,NA
2017,4,Stewart and Lynda Resnick,NA,NA,United States,United States,Beverly Hills,TRUE,Decreased,Food & Beverage,19.5,0.6174
2017,4,"Robert Rich, Jr.",76,Male,United States,United States,Islamorada,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,4,Evan Spiegel,26,Male,United States,United States,Los Angeles,TRUE,Increased,Technology,19.5,1.01
2017,4,Russ Weiner,46,Male,United States,United States,Delray Beach,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,3.9,"Austen Cargill, II.",66,Male,United States,United States,Livingston,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.9,"James Cargill, II.",67,Male,United States,United States,Birchwood,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.9,Diane Hendricks,70,Female,United States,United States,Afton,TRUE,Decreased,Construction & Engineering,19.5,0.8402000000000001
2017,3.9,Marianne Liebmann,63,Female,United States,United States,Bozeman,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.9,Mary Alice Dorrance Malone,67,Female,United States,United States,Coatesville,FALSE,Remained Even,Food & Beverage,19.5,0.6174
2017,3.8,Stephen Bisciotti,56,Male,United States,United States,Millersville,TRUE,Increased,Sports,19.5,NA
2017,3.8,Nathan Blecharczyk,33,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,3.8,Rick Caruso,58,Male,United States,United States,Brentwood,TRUE,Increased,Real Estate,19.5,2.525
2017,3.8,Bubba Cathy,62,Male,United States,United States,Atlanta,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.8,Dan Cathy,64,Male,United States,United States,Atlanta,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.8,Brian Chesky,35,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,3.8,Joe Gebbia,35,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,3.8,H. Fisk Johnson,58,Male,United States,United States,Racine,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.8,Imogene Powers Johnson,86,Female,United States,United States,Racine,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.8,S. Curtis Johnson,61,Male,United States,United States,Racine,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.8,Helen Johnson-Leipold,60,Female,United States,United States,Racine,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.8,Winifred Johnson-Marquart,57,Female,United States,United States,Virginia Beach,FALSE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.8,Clayton Mathile,76,Male,United States,United States,Brookville,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,3.8,"Julian Robertson, Jr.",84,Male,United States,United States,Locust Valley,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3.8,"Walter Scott, Jr. & family",85,Male,United States,United States,Omaha,TRUE,Remained Even,Energy,19.5,NA
2017,3.7,Archie Aldis Emmerson & family,87,Male,United States,United States,Redding,TRUE,Increased,Manufacturing,19.5,2.1096999999999997
2017,3.7,Ken Fisher,66,Male,United States,United States,Camas,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3.7,Igor Olenicoff,74,Male,United States,United States,Lighthouse Point,TRUE,Increased,Real Estate,19.5,2.525
2017,3.7,"Clemmie Spangler, Jr.",84,Male,United States,United States,Charlotte,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.7,Jerry Speyer,76,Male,United States,United States,New York,TRUE,Decreased,Real Estate,19.5,2.525
2017,3.7,Steven Spielberg,70,Male,United States,United States,Pacific Palisades,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,3.7,Steven Udvar-Hazy,71,Male,United States,United States,Beverly Hills,TRUE,Increased,Service,19.5,NA
2017,3.6,Dan Friedkin,52,Male,United States,United States,Houston,FALSE,Increased,Automotive,19.5,NA
2017,3.6,Phillip Frost,80,Male,United States,United States,Miami Beach,TRUE,Decreased,Health care,19.5,1.4713
2017,3.6,Jimmy Haslam,63,Male,United States,United States,Knoxville,FALSE,Increased,Fashion & Retail,19.5,1.1789
2017,3.6,Michael Milken,70,Male,United States,United States,Los Angeles,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3.6,Gary Rollins,72,Male,United States,United States,Atlanta,FALSE,Increased,Service,19.5,NA
2017,3.6,Randall Rollins,85,Male,United States,United States,Atlanta,FALSE,Increased,Service,19.5,NA
2017,3.6,Henry Samueli,62,Male,United States,United States,Newport Beach,TRUE,Increased,Technology,19.5,1.01
2017,3.6,"Bernard Saul, II.",84,Male,United States,United States,Chevy Chase,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.6,Jeff Sutton,57,Male,United States,United States,New York,TRUE,Increased,Real Estate,19.5,2.525
2017,3.5,Dagmar Dolby & family,75,Female,United States,United States,San Francisco,FALSE,Increased,Technology,19.5,1.01
2017,3.5,Peter Kellogg,74,Male,United States,United States,Short Hills,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.5,Robert McNair,80,Male,United States,United States,Houston,TRUE,Increased,Sports,19.5,NA
2017,3.5,Yuri Milner,55,Male,Russia,United States,Los Altos,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3.5,Donald Sterling,82,Male,United States,United States,Beverly Hills,TRUE,Increased,Real Estate,19.5,2.525
2017,3.5,Harry Stine,75,Male,United States,United States,Adel,TRUE,Decreased,Food & Beverage,19.5,0.6174
2017,3.5,Donald Trump,70,Male,United States,United States,Washington,FALSE,Decreased,Real Estate,19.5,2.525
2017,3.4,Mark Cuban,58,Male,United States,United States,Dallas,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,3.4,David Filo,50,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,3.4,Jeff Greene,62,Male,United States,United States,Palm Beach,TRUE,Increased,Real Estate,19.5,2.525
2017,3.4,Randal Kirk,63,Male,United States,United States,Lake Worth,TRUE,Decreased,Health care,19.5,1.4713
2017,3.4,George Lindemann & family,80,Male,United States,United States,Palm Beach,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.4,Anthony Pritzker,56,Male,United States,United States,Los Angeles,FALSE,Increased,Service,19.5,NA
2017,3.4,Jay Robert (J.B.) Pritzker,52,Male,United States,United States,Chicago,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.3,Arthur Blank,74,Male,United States,United States,Atlanta,TRUE,Increased,Sports,19.5,NA
2017,3.3,John Catsimatidis,68,Male,United States,United States,New York,TRUE,Decreased,Energy,19.5,NA
2017,3.3,Tom Gores,52,Male,United States,United States,Beverly Hills,TRUE,Remained Even,Finance & Investments,19.5,1.508
2017,3.2,Neil Bluhm,79,Male,United States,United States,Chicago,TRUE,Decreased,Real Estate,19.5,2.525
2017,3.2,Jack & Laura Dangermond,71,NA,United States,United States,Redlands,TRUE,Increased,Technology,19.5,1.01
2017,3.2,Bennett Dorrance,71,Male,United States,United States,Paradise Valley,FALSE,Increased,Food & Beverage,19.5,0.6174
2017,3.2,"Amos Hostetter, Jr.",80,Male,United States,United States,Boston,TRUE,Increased,Media & Entertainment,19.5,0.21380000000000002
2017,3.2,Ronald Lauder,73,Male,United States,United States,New York,FALSE,Decreased,Fashion & Retail,19.5,1.1789
2017,3.2,Michael Moritz,62,Male,United States,United States,San Francisco,TRUE,Increased,Technology,19.5,1.01
2017,3.2,Daniel Och,56,Male,United States,United States,Scarsdale,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3.2,Thomas Pritzker,66,Male,United States,United States,Chicago,FALSE,Increased,Finance & Investments,19.5,1.508
2017,3.2,Richard Schulze,76,Male,United States,United States,Bonita Springs,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,3.1,Riley Bechtel & family,64,Male,United States,United States,San Francisco,FALSE,Increased,Construction & Engineering,19.5,0.8402000000000001
2017,3.1,"Stephen Bechtel, Jr.",91,Male,United States,United States,San Francisco,FALSE,Increased,Construction & Engineering,19.5,0.8402000000000001
2017,3.1,Andrew & Peggy Cherng,NA,NA,United States,United States,Las Vegas,TRUE,Increased,Food & Beverage,19.5,0.6174
2017,3.1,John Paul DeJoria,72,Male,United States,United States,Austin,TRUE,Increased,Fashion & Retail,19.5,1.1789
2017,3.1,Andreas Halvorsen,55,Male,Norway,United States,Darien,TRUE,Remained Even,Finance & Investments,19.5,1.508
2017,3.1,Reid Hoffman,49,Male,United States,United States,Palo Alto,TRUE,Increased,Technology,19.5,1.01
2017,3.1,Lynn Schusterman,78,Female,United States,United States,Tulsa,FALSE,Decreased,Energy,19.5,NA
2017,3,John Arnold,43,Male,United States,United States,Houston,TRUE,Increased,Finance & Investments,19.5,1.508
2017,3,Clifford Asness,50,Male,United States,United States,Greenwich,TRUE,NA,Finance & Investments,19.5,1.508
2017,3,Edward Bass,71,Male,United States,United States,Fort Worth,FALSE,Increased,Energy,19.5,NA
2017,3,Leon G. Cooperman,73,Male,United States,United States,Short Hills,TRUE,Decreased,Finance & Investments,19.5,1.508
2017,3,Allan Goldman,74,Male,United States,United States,New York,FALSE,NA,Real Estate,19.5,2.525
2017,3,Jane Goldman,61,Female,United States,United States,New York,FALSE,NA,Real Estate,19.5,2.525
2017,3,Amy Goldman Fowler,62,Female,United States,United States,Rhinebeck,FALSE,NA,Real Estate,19.5,2.525
2017,3,Tom Golisano,75,Male,United States,United States,Naples,TRUE,Increased,Service,19.5,NA
2017,3,Diane Kemper,71,Female,United States,United States,New York,FALSE,NA,Real Estate,19.5,2.525
2017,3,Kenneth Langone,81,Male,United States,United States,Sands Point,TRUE,Increased,Finance & Investments,19.5,1.508
